ScholarshipID,SponsorID,ScholarshipName,ScholarshipLink,ScholarshipContactFName,ScholarshipContactLName,ScholarshipContactEmail,ScholarshipContactTelephone,ScholarshipAward,ScholarshipDescription,ScholarshipOccurence,ScholarshipEligibilityReqs,ScholarshipEligibilityReqsOther,ScholarshipApplListDate,ScholarshipApplStartDate,ScholarshipApplEndDate,Criteria_Gender,Criteria_AgeMinimum,Criteria_AgeMaximum,Criteria_Citizenship,Criteria_YearOfNeed,ScholarshipStatus,Criteria_EducationLevel_NOTUSED,Criteria_EnrollmentStatus,Criteria_SchoolType_NOTUSED,Crtieria_MinimumGPA,Criteria_USMilitaryService,Criteria_FieldOfStudy,Criteria_FAAPilotCertificate,Criteria_FAAPilotRating,Criteria_FAAMechanicCertificate,Notes_Admin
200224,100015,"Guidance, Navigation and Control Graduate Award",https://www.aiaa.org/home/get-involved/students-educators/scholarships-graduate-awards,Michael,Lagana,scholarships@aiaa.org,(703) 264-7517,"$2,500 ",The AIAA Foundation annually awards financial aid to undergraduate and graduate students in science or engineering programs to help support future aerospace professionals. <br><br>This scholarship is offered each year to graduate students doing excellent research in the air and space sciences.,Annual,"1. Must be a current AIAA member in good standing.<br>2. Must have completed at least one academic quarter or semester of full-time graduate-level college work and have a research topic approved.<br>3. Must have a minimum cumulative GPA of 3.3 on a 4.0 scale<br>4. Must be enrolled in any accredited college or university within the United States or U.S. territories.<br>5. Must be continuing graduate work in some field of science or engineering encompassed by the technical activities of AIAA.<br>6. Must be researching a topic related to Guidance, Navigation, and Control.","1. Official College/University Transcripts* (if you\''''ve attended more than one College/University, official transcripts for all graduate level work from ALL schools must be provided), including all graduate work completed through the most recent Fall term.<br>2. Assessment of a 500-1,000 word typewritten essay, specifying the applicant\''''s career objectives and an outline of the academic program required to achieve the career objectives.<br>3. A research description that (1) Must be in PDF format, (2) Must be 1-20 pages (Descriptions over 20 pages will not be accepted), and (3) Clearly defines hypotheses, research approach, objectives, and benefits of research.<br>4. Three (3) professional letters of recommendation (recommendations from relatives will not be accepted). Letters of recommendation must be submitted via the online application system.<br>5. Extracurricular activities, including high school, college and community activities, offices, awards, and work experience will receive due consideration.",,10/1/2019,1/31/2020,,,,|912001|,|913008|913009|,Done,|Pursuing Master\'s Degree|,|914001|,|Four-year College or University|Graduate School|,3.3,,|911008|,,,,
200300,100084,NEAAA Scholarship,http://northeastaaa.org/scholarship.html,Sandra,Carter,businessoffice@northeastaaa.org,(631) 734-5515,"$1,500 ",This scholarship is for an individual majoring in an agricultural subject area or related field to include Aerial Application.,Annual,,,,,,,,,,,Incomplete,|High School Senior (12th)|High School Graduate (or GED)|College Freshman|College Sophomore|College Junior|College Senior|,,,0,,|911001|,,,,
200010,100000,2019 Family Focused Scholarship,https://www.hqafsa.org/scholarshipsupport.html,,,,,"Covers up to $23,400 in one online degree program (associate, bachelor, or master) at either Columbia Southern University or Waldorf University",,,,1. Open to all AFSA members in the family member category.<br>2. Eligible candidates must have a high school transcript or equivalent (GED).<br>3. Scholarship applicants must be available to begin their coursework within six months of the date of the award.<br>4. Capable of maintaining a 2.0 undergraduate GPA or 3.0 graduate GPA<br>5. Remain in good standing with CSU/Waldorf throughout his or her degree program,,,,,,,,,Incomplete,,,,0,,,,,,
200031,100000,Aircraft Electronics Association,,,,,,"Two $5,000 awards",,,,,,,,,,,,,Incomplete,,,,0,,,,,,
200032,100000,Airmen Memorial Foundation Scholarship Program,https://www.hqafsa.org/scholarshipsupport.html,,,,,"$2,000: one Richard Howard Scholarship, and five Memorial Scholarships in the names of Sharon Piccoli, Julene Howard and Sgt. James R. Seal",,,,,,,,,,,,,Incomplete,,,,0,,,,,,
200001,100019,,,,,,,,,,,,,,,,,,,,Incomplete,,,,0,,,,,,
200142,100040,Commercial Helicopter Pilot Rating Scholarships,https://www.haifoundation.org/index.php/scholarships/,,,,,"Four (4) $5,000 awards",This scholarship is for applicants who want to attain their commercial helicopter ratings.,Annual,1. Applicants must already have their private pilot\'s license and be enrolled in a commercial helicopter rating program at an FAA-approved Part 141 school or international equivalent.,1. Applicants must already have their private pilot\'s license and be enrolled in a commercial helicopter rating program at an FAA-approved Part 141 school or international equivalent. <br>2. Up to four scholarships may be awarded.,,,10/31/2019,,,,,|913002|913004|913005|913006|913007|,Done,,|914001|914002|,|FAA Part 141 School|,0,,|911004|,|916005|,|917007|,,
200059,100136,AOPA High School Flight Training Scholarship,https://www.aopa.org/training-and-safety/students/flight-training-scholarships,,,ftscholarship@aopa.org,,"Eighty (80) $10,000 awards","Thanks to the generosity of the Ray Foundation, 80 exceptional high school students will be able to use the money for direct flight training expenses to pursue a primary pilot certificate, such as a private, sport, or recreational pilot certificate. They must also complete a flight training milestone, achieving either solo or earning a primary pilot certificate, within one year of receiving a scholarship. <br>Priority Application Deadline: March 1, 2020",Annual,"1. Must be a current member of AOPA at both the time of application and when the scholarship is awarded.<br>2. Must be a current high school student, 15- to 18-years old<br>3. U.S. citizen or U.S. permanent resident<br>4. Parent or guardian approval (if under 18 years of age)<br>5. Not have completed a sport, recreational, glider, or private pilot certificate at the time of application<br>6. Minimum GPA of 2.75<br>7. Agree to complete solo flight or achieve pilot certificate within one year of receiving the scholarship","1. High school transcript<br>2. Contact information for each of your two references<br>3. A list of school and non-school related clubs and organizations in which you have participated since your freshman year, as well as any corresponding leadership positions (particularly those that are aviation related)<br>4. A list of honors and awards that you have received when participating in clubs and organizations<br>5. A list of volunteer organizations in which you participate, plus any awards and honors that you have received for your participation since freshman year (particularly those that are aviation related)<br>6. Your pilot logbook (if you have one)",,1/3/2020,3/15/2020,,15,18,|912001|,,Done,|High School Freshman (9th)|High School Sophomore (10th)|High School Junior (11th)|High School Senior (12th)|,|914005|,|High School|,2.8,,|911004|,|916001|916002|916003|916004|,,,
200064,100000,Association for Women in Aviation,,,,,,"$1,041.15 ",,,,,,,,,,,,,Incomplete,,,,0,,,,,,
200061,100136,AOPA Teacher Flight Training Scholarship,https://www.aopa.org/training-and-safety/students/flight-training-scholarships,,,ftscholarship@aopa.org,,"Twenty (20) $10,000 awards","As part of the AOPA You Can Fly program and thanks to the generosity of the Ray Foundation, up to 20 teachers will be awarded scholarships of $10,000 each to pursue a primary pilot certificate such as a private, sport or recreational pilot certificate. Scholarship recipients will be able to use the money for direct flight training expenses to pursue a primary pilot certificate. They must also complete a flight training milestone, achieving either solo or earning a primary pilot certificate, within one year of receiving a scholarship.",Annual,"1. Current member of AOPA at both the time of application and when the scholarship is awarded.<br>2. U.S. citizen or U.S. permanent resident<br>3. CurrentlyÂ aÂ paid, full-time employee of a school or school system<br>4. Must currently be instructing students or providing curriculum to teachers for students in preparation for a future in aviation.<br>5. Not have completed an FAA checkride previously for a primary pilot certificate at the time of application.<br>6. Be the teacher of record for students or have direct supervision over curriculum and instruction<br>7. Provide a letter from his or her school verifying their employment in a school or school system during the 2019-20 school year and signed by a district administrator. If a district administrator is applying, the letter needs to be signed by another administrator employed by the same school system.",,,1/3/2020,3/15/2020,,,,|912001|,,Done,,,,0,,|911004|,|916001|916002|916003|916004|,,,
