SponsorName,SponsorDescription,SponsorWebsite,SponsorLogo,SponsorContactFName,SponsorContactLName,SponsorContactEmail,SponsorContactTelephone,SponsorID,SponsorType,RecordID
Air Force Sergeants Association,,,,,,,,100004,,2
American Yankee Association,"The American Yankee Association (AYA) is the official owners group for all models of American Aviation, Grumman American, and Gulfstream Aerospace, AGAC and Tiger Aircraft. AYA was initially formed in June, 1976. The purpose of this organization shall be to bring together in good fellowship those who share a common bond of affection and interest in the American Yankee, Model AA-1, and its descendants, Models AA-1A, 1B, 1C, 5, 5A, 5B, GA-7, AG5B and Tiger aircraft.",https://www.aya.org/,https://www.aya.org/resources/Pictures/aya%20logo.jpg,Sharon,Spence,pres@aya.org,(306) 441-9525,100016,,3
"Arizona Department of Transportation , Aeronautics Group",,,,,,,,100017,,4
"Georgia Department of Transportation, Aviation Programs",,,,,,,,100038,,5
"Idaho Transportation Department, Division of Aeronautics",,,,,,,,100041,,6
"Illinois Department of Transportation, Division of Aeronautics",,,,,,,,100043,,7
"Louisiana Department of Transportation and Development, Aviation Section",,,,,,,,100055,,8
"Maine Department of Transportation, Bureau of Transportation System Planning",,,,,,,,100056,,9
Maryland Office of Regional Aviation Assistance,,,,,,,,100057,,10
"New Mexico Department of Transportation, Aviation Division",,,,,,,,100079,,11
"New York State Department of Transportation, Aviation Division",,,,,,,,100080,,12
Rhode Island Airport Corporation,,,,,,,,100100,,13
Santa Ynez Valley Airport,,,,,,,,100101,,14
"Utah Department of Transportation, Division of Aeronautics",,,,,,,,100119,,15
"Vermont Agency of Transportation, Operations Division, Air Section",,,,,,,,100120,,16
Virginia Department of Aviation,,,,,,,,100123,,17
"Washington Department of Transportation, Aviation Division",,,,,,,,100124,,18
Association of Naval Aviation,"Founded in 1961, the Air Force Sergeants Association (AFSA) legislates, advocates and educates America''''s elected, military and community leaders in support of the quality of life for our 100,000 military members and their families. AFSA membership is $36 for one year, $63 two-year, and $89 three-year. Lifetime memberships are also available.",https://www.hqafsa.org/,https://www.hqafsa.org/uploads/3/8/9/1/38911523/published/afsa-wings-blue-png.png?1547243246,,,,,100141,,19
Aerospace Medical Association,"The Aerospace Medical Association (AsMA) is organized exclusively for charitable, educational, and scientific purposes. It is the largest, most-representative professional membership organization in the fields of aerospace medicine and human performance.",http://www.asma.org/home,https://vo-general.s3.amazonaws.com/a915dc81-bb8d-4d48-b175-916ec33a420a/ffca524c-4aae-4a46-8268-41c2399d11c7?AWSAccessKeyId=AKIAJ4PRWO26HAX3IOCA&Expires=1665424975&response-content-disposition=inline%3B%20filename%3D%22AsMABannerOpenWater.jpg%22&response-content-type=image%2Fjpeg&Signature=Dl4ZK35%2BiSGnW8iej0zR8rykudo%3D,,,membership@asma.org,(703) 739-2240,100002,,20
